City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,margaret river,-33.95,115.0667,19.38,86,7,5.64,AU,1715264790
1,port-aux-francais,-49.35,70.2167,5.21,74,13,7.9,TF,1715264790
2,jamestown,42.097,-79.2353,13.34,73,0,5.14,US,1715264791
3,invercargill,-46.4,168.35,7.79,84,100,3.58,NZ,1715264791
4,la libertad,-2.2333,-80.9,25.81,83,75,2.57,EC,1715264792
5,howard springs,-12.497,131.047,27.95,95,100,1.8,AU,1715264793
6,tsiombe,-25.3,45.4833,25.01,64,0,5.18,MG,1715264793
7,albany,42.6001,-73.9662,13.9,69,100,0.89,US,1715264794
8,bilibino,68.0546,166.4372,-8.92,97,34,2.14,RU,1715264795
9,egilsstadir,65.2653,-14.3948,8.95,37,0,4.12,IS,1715264795
10,isafjordur,66.0755,-23.124,8.02,49,75,5.14,IS,1715264796
11,ushuaia,-54.8,-68.3,0.79,86,0,1.03,AR,1715264796
12,iqaluit,63.7506,-68.5145,-2.15,74,75,2.57,CA,1715264796
13,kotlas,61.2611,46.6556,0.03,69,100,6.26,RU,1715264797
14,adamstown,-25.066,-130.1015,21.19,77,44,0.38,PN,1715264797
15,bethel,41.3712,-73.414,18.34,62,40,4.63,US,1715264572
16,waitangi,-43.9535,-176.5597,9.34,94,96,3.58,NZ,1715264799
17,veraval,20.9,70.3667,28.51,79,0,4.95,IN,1715264799
18,kudahuvadhoo,2.6708,72.8944,29.2,74,68,3.51,MV,1715264800
19,aasiaat,68.7098,-52.8699,-7.74,88,79,2.71,GL,1715264800
20,puerto natales,-51.7236,-72.4875,0.25,93,75,0.51,CL,1715264801
21,port saint john's,-31.6229,29.5448,24.66,68,0,1.56,ZA,1715264801
22,santiago de cao,-7.9589,-79.2392,17.07,94,100,4.63,PE,1715264255
23,kuvshinovo,57.0295,34.1725,8.0,31,100,5.42,RU,1715264802
24,afif,23.9065,42.9172,33.22,17,2,4.67,SA,1715264802
25,puerto ayora,-0.7393,-90.3518,24.98,96,100,0.45,EC,1715264803
26,grytviken,-54.2811,-36.5092,-0.7,72,68,1.08,GS,1715264803
27,whitehorse,60.7161,-135.0538,4.43,58,100,6.17,CA,1715264621
28,dylym,43.071,46.6345,10.3,82,100,2.6,RU,1715264804
29,matoury,4.8483,-52.3317,24.98,100,75,2.57,GF,1715264805
30,anadyr,64.75,177.4833,-8.72,79,40,4.0,RU,1715264805
31,longyearbyen,78.2186,15.6401,-0.09,69,75,13.89,SJ,1715264806
32,nizhnesortymskiy,62.4397,71.7603,3.95,98,100,8.0,RU,1715264260
33,acarau,-2.8856,-40.12,30.02,68,83,5.98,BR,1715264806
34,keflavik,64.0049,-22.5624,8.95,46,75,2.57,IS,1715264807
35,hawaiian paradise park,19.5933,-154.9731,20.57,98,100,3.6,US,1715264807
36,hamilton,39.1834,-84.5333,21.43,83,100,5.14,US,1715264808
37,port mathurin,-19.6833,63.4167,25.48,76,100,11.59,MU,1715264808
38,alice springs,-23.7,133.8833,11.75,82,7,2.06,AU,1715264809
39,blackmans bay,-43.0167,147.3167,11.52,95,100,0.62,AU,1715264809
40,tura,25.5198,90.2201,23.73,66,76,1.81,IN,1715264810
41,puryong,42.0606,129.7117,11.41,46,10,2.54,KP,1715264810
42,kourou,5.1552,-52.6478,25.03,89,99,3.08,GF,1715264249
43,yuzhno-kurilsk,44.0306,145.8556,2.99,95,100,2.9,RU,1715264811
44,cill airne,52.05,-9.5167,20.03,52,20,5.14,IE,1715264811
45,saint-pierre,-21.3393,55.4781,24.82,69,0,10.8,RE,1715264812
46,ambalangoda,6.2355,80.0538,28.85,75,90,1.54,LK,1715264812
47,olonkinbyen,70.9221,-8.7187,-3.01,78,100,13.96,SJ,1715264813
48,ulsteinvik,62.3432,5.8487,9.62,90,100,0.89,NO,1715264813
49,pahlgam,34.0333,75.3333,8.0,73,31,3.62,IN,1715264813
50,phan rang-thap cham,11.5667,108.9833,26.79,81,20,2.18,VN,1715264814
51,thompson,55.7435,-97.8558,8.09,66,75,2.06,CA,1715264814
52,mejit,10.2753,170.8646,27.23,82,99,9.17,MH,1715264815
53,mulayjah,27.271,48.4242,32.31,12,0,5.99,SA,1715264815
54,kerikeri,-35.2268,173.9474,8.28,85,55,1.79,NZ,1715264816
55,bocas del toro,9.3333,-82.25,26.7,78,100,2.38,PA,1715264816
56,puerto baquerizo moreno,-0.9,-89.6,25.55,83,75,6.69,EC,1715264817
